row ID,Peak m/z,Peak RT,Peak Height
461,280.1542053,16.239463,3.85E+08
465,281.157608,16.256753,6.95E+07
1128,527.2059326,16.256753,9099026
343,249.0618591,16.282692,7249646.5
346,250.0555649,16.282692,1.71E+07
462,280.1542816,16.282692,3.80E+08
624,310.0410767,16.282692,7220438
840,352.2453918,16.282692,7800212
187,200.1839142,16.291338,1.02E+07
1087,478.3276367,16.291338,1.13E+07
74,130.1227188,16.299984,6328559
334,248.0585327,16.299984,5.76E+07
344,249.0618515,16.299984,6973703
347,250.0555191,16.299984,1.87E+07
463,280.1542358,16.299984,3.63E+08
466,281.1575928,16.299984,6.00E+07
610,307.049408,16.299984,7239656.5
184,199.1805725,16.30863,9.04E+07
263,230.1751404,16.30863,8.56E+07
270,231.1784592,16.30863,1.08E+07
618,309.0377045,16.30863,7.15E+07
625,310.0410461,16.30863,7848916
1129,527.2058105,16.30863,1.04E+07
188,200.1838989,16.325922,1.11E+07
335,248.0584869,16.325922,4.91E+07
619,309.0377045,16.325922,6.62E+07
345,249.0618134,16.343215,6225266.5
75,130.1226654,16.351859,5994944
185,199.1805115,16.351859,8.50E+07
189,200.1838989,16.351859,1.12E+07
271,231.1783905,16.351859,1.17E+07
801,338.2615356,16.360505,7186633.5
186,199.1805191,16.369153,8.38E+07
356,254.1432877,16.369153,7.66E+07
796,337.258194,16.369153,3.86E+07
846,354.28479,16.369153,7524591.5
858,359.2401428,16.369153,1.58E+07
1146,533.2906494,16.369153,2.34E+07
272,231.1784058,16.377799,1.19E+07
273,231.1784363,16.395093,1.19E+07
357,254.1433563,16.395093,8.31E+07
754,330.2322693,16.395093,7292777
797,337.2583008,16.395093,4.23E+07
847,354.28479,16.395093,7264211.5
859,359.2401886,16.395093,1.66E+07
76,130.1226654,16.412382,5920732.5
361,255.1466217,16.412382,9101315
802,338.2616272,16.412382,7527064
264,230.1750641,16.429674,8.10E+07
755,330.2321472,16.429674,7527558.5
798,337.2582092,16.429674,3.68E+07
274,231.1783905,16.446968,1.07E+07
756,330.2321777,16.446968,6563939.5
1189,615.4312134,16.446968,1.23E+07
1150,535.3062439,16.472905,1.81E+07
1190,615.4311829,16.472905,1.15E+07
1068,460.2851105,16.481551,7431033
358,255.1014862,16.498845,2.27E+07
193,207.1492157,16.524782,1.88E+08
359,255.1014862,16.524782,2.66E+07
1069,460.285141,16.524782,6758750
198,208.1525497,16.55072,2.81E+07
360,255.1015167,16.55072,2.45E+07
96,193.1587524,16.559364,4.81E+07
194,207.1492004,16.559364,2.15E+08
1165,571.4051514,16.559364,2.30E+07
1072,462.300827,16.568012,7.60E+07
1075,463.3041382,16.568012,1.83E+07
178,194.1620483,16.576657,7198157
371,257.1560059,16.576657,6485933.5
92,192.1382751,16.585303,6.36E+07
94,193.1417313,16.585303,8367077.5
97,193.1587219,16.585303,4.89E+07
195,207.1492081,16.585303,1.96E+08
199,208.1525421,16.585303,2.50E+07
365,256.1588745,16.585303,3.59E+08
375,257.1621704,16.585303,4.21E+07
381,258.1546936,16.585303,1.76E+07
1073,462.3008728,16.585303,7.77E+07
1076,463.3041229,16.585303,1.96E+07
1166,571.4052124,16.585303,2.06E+07
93,192.1383057,16.611241,6.56E+07
95,193.1417847,16.611241,9397939
179,194.1621399,16.611241,6742672
1045,447.2899017,16.611241,3.26E+07
1050,448.2932129,16.611241,7536304.5
98,193.158783,16.619887,4.98E+07
372,257.1561279,16.619887,6410761.5
376,257.1622314,16.619887,4.65E+07
382,258.1547546,16.619887,1.88E+07
1074,462.3008728,16.619887,6.91E+07
1077,463.3041992,16.619887,1.70E+07
1046,447.2900391,16.628534,3.52E+07
366,256.158905,16.637178,3.92E+08
373,257.1561127,16.637178,6563508
383,258.1547546,16.637178,1.80E+07
870,362.115097,16.637178,2.90E+07
1051,448.293335,16.637178,8268465
99,193.1587677,16.645824,4.45E+07
350,251.0233917,16.654472,1.69E+07
355,253.020462,16.654472,5110126
582,304.0457001,16.654472,3.48E+07
374,257.1560822,16.663116,6091188.5
1047,447.289978,16.663116,3.32E+07
1130,527.3791504,16.663116,2.65E+07
1134,528.3823853,16.663116,6724458.5
180,194.1620789,16.671762,6182129
367,256.1588745,16.671762,3.57E+08
377,257.1621857,16.671762,4.34E+07
583,304.0456848,16.671762,3.84E+07
1052,448.2932434,16.671762,7898671.5
351,251.0233765,16.68041,1.78E+07
1048,447.2900391,16.68041,3.31E+07
1131,527.3791504,16.68041,2.70E+07
100,193.1587677,16.689055,4.32E+07
1135,528.3824158,16.689055,6969591
584,304.0457306,16.706349,3.86E+07
596,306.0427551,16.706349,1.19E+07
352,251.023407,16.714993,1.74E+07
1116,506.1754761,16.714993,8073249
1132,527.3792725,16.714993,2.70E+07
1136,528.3825073,16.714993,7103211
101,193.1587677,16.723639,4.24E+07
597,306.0427551,16.723639,1.24E+07
1158,544.4057617,16.723639,1.38E+07
1159,549.3612061,16.732287,2.57E+07
1161,550.364502,16.732287,7024776
1133,527.3791504,16.766868,2.33E+07
1137,528.3824463,16.775516,6236188.5
1160,549.361084,16.784162,2.23E+07
900,376.0379333,16.792808,6.39E+07
907,377.0412598,16.792808,1.01E+07
911,378.0349426,16.792808,6.18E+07
914,379.038269,16.792808,9864031
278,233.0242767,16.810101,1.50E+07
901,376.0379028,16.810101,6.13E+07
908,377.0412292,16.810101,9380253
912,378.0349426,16.810101,5.95E+07
918,380.0319824,16.810101,1.85E+07
630,311.0169373,16.827391,1.73E+07
669,317.1640015,16.827391,1.75E+08
676,318.1673279,16.827391,2.51E+07
682,319.15979,16.827391,7685888
279,233.0242767,16.853329,1.64E+07
283,235.0213318,16.853329,1.08E+07
631,311.016983,16.853329,2.00E+07
670,317.164032,16.853329,1.98E+08
677,318.1673279,16.853329,2.76E+07
683,319.1597595,16.861976,8754793
284,235.021286,16.87062,1.05E+07
560,300.2037811,16.87062,7353161
1114,505.3347015,16.87062,3.14E+07
1117,506.3382111,16.87062,9180269
552,299.2004089,16.879268,3.48E+07
1090,483.3527985,16.879268,3.72E+07
1092,484.3561249,16.879268,9115678
1106,500.3793945,16.879268,1.35E+07
632,311.0169067,16.887914,1.71E+07
553,299.2003784,16.89656,3.71E+07
1091,483.3527679,16.89656,3.70E+07
1093,484.3560791,16.89656,9908771
1107,500.3793182,16.89656,1.53E+07
1115,505.3346863,16.89656,3.49E+07
1118,506.3381958,16.89656,8007363
561,300.2037201,16.905206,8200108.5
805,339.1216431,16.905206,4.15E+07
821,341.1186829,16.905206,1.33E+07
554,299.20047,16.922497,3.48E+07
562,300.2037659,16.922497,7854141.5
809,340.1250153,16.922497,7245348
822,341.1187134,16.922497,1.29E+07
1094,484.3561401,16.922497,9217928
1108,500.379364,16.922497,1.36E+07
213,215.0702209,16.948435,1.06E+07
661,316.0726929,16.965729,9514554
667,317.0664215,16.965729,1.71E+07
922,381.2662354,16.965729,7644745.5
214,215.0702515,16.974372,1.19E+07
662,316.0727386,16.98302,9465375
923,381.2663116,16.98302,7375308
215,215.0703125,17.008958,1.07E+07
663,316.0727692,17.008958,8127321.5
77,137.0961609,17.043543,8866122
176,194.11763,17.043543,4.11E+07
860,359.2532349,17.043543,8813209
1033,439.3265991,17.043543,4.05E+07
1035,440.3299561,17.043543,1.02E+07
1062,456.3531494,17.043543,1.38E+07
1070,461.3085022,17.043543,2.89E+07
204,210.0681076,17.052187,5050473.5
1031,436.234375,17.052187,1.73E+07
448,278.1053772,17.060833,7.44E+07
78,137.0961609,17.078127,1.02E+07
453,279.1087646,17.078127,1.22E+07
1063,456.3531647,17.078127,1.26E+07
1071,461.3085022,17.078127,2.56E+07
205,210.0680847,17.09542,5782097.5
449,278.1054382,17.09542,8.60E+07
454,279.1087799,17.09542,1.35E+07
861,359.2532349,17.09542,8725386
1034,439.3265991,17.09542,3.79E+07
1036,440.3299561,17.09542,8700373
79,137.0961304,17.104064,9669235
177,194.1176758,17.104064,4.41E+07
459,280.1024628,17.104064,2.85E+07
1064,456.3532104,17.104064,1.21E+07
206,210.0680542,17.130002,5642097
450,278.1054077,17.130002,8.38E+07
455,279.1087341,17.130002,1.29E+07
862,359.2532043,17.130002,8682671
460,280.102417,17.138648,2.56E+07
792,337.2400208,17.147296,8046510.5
247,226.1994934,17.164585,6736914.5
314,241.1416321,17.164585,2.15E+07
309,240.1382675,17.181879,1.49E+08
234,225.1960907,17.190525,5.29E+07
793,337.2399292,17.190525,8560543
1078,464.3271942,17.190525,1.01E+07
248,226.1993942,17.199173,6822056.5
592,305.0460968,17.199173,9454668
235,225.1960678,17.216462,4.83E+07
249,226.1994171,17.22511,7027816.5
310,240.1381836,17.22511,1.47E+08
315,241.14151,17.22511,2.52E+07
794,337.2399292,17.22511,8015015.5
946,388.1307983,17.22511,2.83E+07
953,390.1278534,17.22511,8793471
1148,535.2472534,17.22511,1.04E+07
593,305.0461731,17.2424,1.01E+07
795,337.2399902,17.2424,7608871.5
947,388.1308289,17.2424,2.85E+07
954,390.1278992,17.2424,9141735
1149,535.2473145,17.2424,9355927
250,226.1994629,17.251048,6292407.5
311,240.1382294,17.251048,1.41E+08
209,212.0836792,17.26834,3.12E+07
211,214.080719,17.26834,1.11E+07
363,256.1097717,17.26834,6.35E+07
369,257.1131439,17.26834,9457770
958,395.3002319,17.26834,2.35E+07
1199,629.4470825,17.26834,7810675.5
210,212.0837097,17.285631,3.61E+07
212,214.0807419,17.285631,1.08E+07
364,256.1098022,17.285631,7.05E+07
370,257.1131592,17.285631,9561932
380,258.1069031,17.285631,2.44E+07
607,307.0254059,17.285631,3.37E+07
959,395.3002625,17.285631,2.32E+07
960,396.9897614,17.294277,1.05E+07
970,398.9868164,17.294277,6697109.5
991,412.3267822,17.294277,6609512
1005,417.2821503,17.294277,3.47E+07
1010,418.2854462,17.294277,7061552.5
1200,629.4470825,17.294277,7703484
181,195.1016846,17.320215,1.65E+07
522,294.1365967,17.320215,1.06E+08
530,295.1400299,17.320215,1.74E+07
539,296.1336823,17.320215,3.27E+07
608,307.0254211,17.320215,3.80E+07
961,396.9897766,17.320215,1.20E+07
971,398.9867859,17.320215,7691729
992,412.3267822,17.320215,6422481.5
1006,417.2821655,17.320215,3.54E+07
1011,418.2854614,17.320215,7448685.5
80,139.0389862,17.328862,7514324
1145,533.2680969,17.337506,1.28E+07
182,195.1016617,17.346152,1.86E+07
523,294.1366425,17.346152,1.03E+08
531,295.1400146,17.346152,1.60E+07
540,296.1336823,17.346152,3.36E+07
1201,629.4470825,17.346152,7352031
1208,651.4289856,17.346152,1.69E+07
81,139.0389862,17.3548,8762108
609,307.0254517,17.3548,3.83E+07
532,295.1400757,17.363444,1.54E+07
541,296.1336975,17.363444,3.09E+07
183,195.1016693,17.372092,1.87E+07
1209,651.4290771,17.398029,1.45E+07
286,237.078949,17.406677,5.40E+07
292,238.0822754,17.406677,7280803
566,301.1181946,17.406677,2.66E+07
621,309.111969,17.406677,7.82E+07
627,310.1153564,17.406677,1.65E+07
1202,629.4472046,17.406677,8428622
301,239.076004,17.415321,1.78E+07
567,301.1182404,17.432615,2.77E+07
752,330.1098633,17.432615,1.57E+08
763,331.1131897,17.432615,3.32E+07
891,374.196106,17.432615,1.52E+08
895,375.1994171,17.432615,3.62E+07
293,238.082283,17.449904,8317087.5
568,301.1181946,17.449904,2.96E+07
622,309.1118774,17.449904,6.92E+07
634,311.1851501,17.449904,2.10E+07
753,330.1098328,17.449904,1.80E+08
764,331.113205,17.449904,3.77E+07
892,374.1960144,17.449904,1.46E+08
896,375.1993713,17.449904,3.28E+07
1185,607.4030151,17.449904,2.53E+07
538,296.1159668,17.458552,8.00E+07
544,297.1192932,17.458552,1.31E+07
545,298.1130219,17.458552,2.64E+07
722,326.0279236,17.458552,4.65E+07
302,239.0759735,17.467198,1.86E+07
1186,607.4029541,17.467198,2.35E+07
287,237.0788727,17.475844,6.00E+07
546,298.1129761,17.475844,2.47E+07
635,311.1850739,17.475844,2.13E+07
723,326.027832,17.475844,4.61E+07
765,331.1131287,17.475844,3.21E+07
288,237.0788879,17.493136,6.02E+07
294,238.0822144,17.493136,7680761.5
303,239.0759125,17.493136,1.84E+07
304,240.0785522,17.493136,4.14E+07
316,242.0755463,17.493136,1.30E+07
512,293.0098419,17.493136,3.67E+07
636,311.1850281,17.493136,2.05E+07
1177,602.4475098,17.493136,1.19E+07
338,249.0456696,17.501781,1.07E+07
1167,585.4210205,17.501781,1.55E+07
1187,607.4029541,17.501781,2.69E+07
513,293.0097961,17.510429,3.50E+07
1168,585.4209595,17.527719,1.32E+07
339,249.0456696,17.536367,9345297
766,331.226532,17.536367,2.36E+07
66,95.01266479,17.553657,8278896.5
589,304.1450653,17.553657,1.05E+07
681,319.1399231,17.553657,9422366
767,331.2265015,17.553657,2.14E+07
1169,585.420929,17.553657,1.37E+07
1188,607.402832,17.553657,2.35E+07
1191,619.2680664,17.553657,2.81E+07
318,242.1174469,17.562304,6965386
407,270.1123047,17.562304,1.00E+07
575,302.1385193,17.562304,7.12E+08
580,303.1418457,17.562304,1.29E+08
675,318.1365967,17.562304,5.35E+07
688,320.1336365,17.562304,1.88E+07
1179,603.2702026,17.562304,3.75E+07
1181,604.2735596,17.562304,1.51E+07
1193,620.2714233,17.562304,1.06E+07
67,95.01263428,17.579596,8054744
576,302.138504,17.579596,6.64E+08
581,303.1418457,17.579596,1.26E+08
1180,603.2702637,17.579596,3.60E+07
1192,619.2680664,17.579596,2.61E+07
1194,620.2714233,17.579596,9042855
319,242.1174316,17.588244,7013802.5
408,270.1123352,17.588244,9602947
1182,604.2735596,17.588244,1.37E+07
590,304.1451111,17.596888,9363856
